price,minimum_nights,host_id,neighbourhood_group,room_type,number_of_reviews,reviews_per_month,availability_365,longitude,latitude
120,4,297769,Manhattan,Private room,171,1.8,353,-73.9908,40.71445
65,3,281764,Brooklyn,Entire home/apt,238,2.3,2,-73.9503,40.64446
99,3,197755,Brooklyn,Entire home/apt,111,2.13,68,-73.9171,40.688
36,2,303939,Staten Island,Private room,193,1.85,360,-74.08537,40.63536
37,2,303939,Staten Island,Private room,147,1.44,0,-74.08543,40.63627
37,2,303939,Staten Island,Private room,177,1.71,320,-74.08546,40.63518
175,3,306545,Manhattan,Entire home/apt,185,1.78,326,-73.98161,40.72477
285,3,306739,Brooklyn,Entire home/apt,124,1.22,279,-73.95511,40.72945
59,2,308875,Brooklyn,Private room,181,1.77,15,-73.95177,40.70763
36,2,303939,Staten Island,Private room,333,3.19,340,-74.08519,40.63481
99,5,307962,Queens,Entire home/apt,441,4.5,226,-73.91433,40.75384
39,1,308652,Brooklyn,Private room,45,0.46,365,-73.97426,40.64106
105,2,310670,Bronx,Entire home/apt,38,0.5,365,-73.83572,40.88057
135,2,170510,Brooklyn,Entire home/apt,248,2.39,11,-73.94314,40.68236
390,5,306545,Manhattan,Entire home/apt,143,1.38,316,-73.98246,40.72185
70,3,311286,Brooklyn,Private room,36,0.41,281,-73.95385,40.68503
100,3,313317,Brooklyn,Private room,279,2.69,301,-73.94339,40.6778
70,4,311286,Brooklyn,Private room,18,0.22,189,-73.94701,40.68317
110,6,314256,Brooklyn,Private room,50,3.55,0,-73.9529,40.6761
60,2,314582,Brooklyn,Private room,227,2.27,287,-73.95155,40.67586
68,2,46978,Manhattan,Private room,203,1.96,86,-73.98157,40.72321
115,2,317809,Manhattan,Entire home/apt,210,2.1,261,-73.98098,40.77956
75,5,319092,Brooklyn,Private room,64,0.67,68,-73.95264,40.68276
129,7,320450,Manhattan,Entire home/apt,5,0.15,231,-73.98158,40.72956
95,4,320538,Brooklyn,Entire home/apt,132,1.27,46,-73.94641,40.70863
75,3,321756,Manhattan,Private room,20,0.26,364,-73.94307,40.82888
175,2,321934,Brooklyn,Entire home/apt,11,0.11,246,-73.97323,40.67319
190,3,322884,Brooklyn,Entire home/apt,51,0.57,288,-73.99443,40.67846
212,3,324460,Manhattan,Entire home/apt,67,1.31,51,-73.98534,40.72681
95,1,314941,Manhattan,Private room,109,1.11,364,-73.99392,40.71904
140,2,325389,Brooklyn,Entire home/apt,9,0.11,254,-73.9583,40.71031
135,6,136227,Manhattan,Entire home/apt,187,1.87,189,-73.95306,40.81322
150,2,327673,Brooklyn,Entire home/apt,214,2.08,263,-73.98225,40.67732
190,3,329436,Brooklyn,Entire home/apt,69,0.79,258,-73.9896,40.68076
122,3,332189,Manhattan,Private room,93,0.93,246,-73.95838,40.80393
109,1,323517,Manhattan,Private room,104,1.05,364,-73.9652,40.80082
145,3,240427,Brooklyn,Entire home/apt,127,1.25,72,-73.91981,40.683
250,2,282655,Brooklyn,Entire home/apt,106,1.34,272,-73.99495,40.67817
125,3,343250,Brooklyn,Private room,6,0.1,325,-73.95578,40.73119
575,2,281229,Manhattan,Entire home/apt,191,1.88,298,-73.99627,40.71943
70,5,155689,Brooklyn,Private room,47,0.49,203,-73.91922,40.70514
90,2,353965,Manhattan,Private room,120,1.27,132,-73.92811,40.86713
65,3,354330,Manhattan,Private room,52,0.63,5,-73.98881,40.73198
500,2,72062,Manhattan,Entire home/apt,48,0.48,297,-73.97986,40.72542
250,3,361855,Manhattan,Entire home/apt,32,0.43,276,-73.93869,40.83494
229,1,365153,Brooklyn,Entire home/apt,50,0.5,188,-73.95552,40.72898
59,3,340692,Brooklyn,Private room,29,0.36,15,-73.95341,40.72646
195,4,211877,Brooklyn,Entire home/apt,59,0.6,71,-73.96101,40.71015
169,1,389924,Brooklyn,Entire home/apt,68,0.67,215,-73.9597,40.71903
115,2,265109,Queens,Entire home/apt,198,2.01,257,-73.93426,40.77635
55,2,394752,Brooklyn,Private room,1,0.01,0,-73.95018,40.72488
69,2,308875,Brooklyn,Private room,220,2.17,8,-73.95763,40.71398
150,3,401696,Manhattan,Entire home/apt,286,2.81,191,-73.98394,40.71876
169,2,118971,Brooklyn,Entire home/apt,398,3.97,182,-73.99019,40.66552
179,3,417504,Brooklyn,Private room,36,0.36,79,-73.95292,40.73749
150,3,134355,Manhattan,Private room,36,0.36,49,-73.9913,40.76248
135,4,422561,Brooklyn,Entire home/apt,6,0.1,0,-73.98876,40.68674
350,6,425506,Brooklyn,Entire home/apt,14,0.3,156,-73.96219,40.6848
71,2,434987,Manhattan,Private room,182,1.81,200,-73.98486,40.72329
349,3,417504,Brooklyn,Private room,8,0.09,60,-73.95327,40.73776
349,3,417504,Brooklyn,Private room,7,0.07,60,-73.95482,40.73738
249,3,417504,Brooklyn,Private room,2,0.02,60,-73.95312,40.73842
100,3,448312,Brooklyn,Private room,66,0.68,0,-73.99832,40.6926
200,3,448312,Brooklyn,Entire home/apt,80,0.85,106,-73.99771,40.69441
169,4,449787,Manhattan,Entire home/apt,240,2.4,276,-73.98374,40.72399
185,3,451545,Brooklyn,Entire home/apt,46,1.07,248,-73.94615,40.6824
65,2,453519,Brooklyn,Entire home/apt,228,2.27,194,-73.91708,40.68949
225,2,410094,Manhattan,Entire home/apt,33,0.33,0,-73.98094,40.72451
179,3,417504,Brooklyn,Private room,13,0.14,81,-73.95394,40.73813
150,5,459054,Brooklyn,Entire home/apt,5,0.05,0,-73.94715,40.67591
139,1,462776,Manhattan,Entire home/apt,388,3.88,142,-73.98895,40.72843
95,3,464506,Manhattan,Private room,223,2.22,60,-73.99776,40.71271
150,2,327900,Manhattan,Entire home/apt,151,1.51,52,-73.98766,40.71965
90,3,209460,Brooklyn,Entire home/apt,218,2.26,324,-73.94911,40.68048
120,2,25183,Brooklyn,Entire home/apt,75,0.76,237,-73.93963,40.68314
80,1,35375,Queens,Private room,42,1.21,365,-73.91117,40.75961
175,2,478395,Brooklyn,Entire home/apt,370,3.74,204,-73.93185,40.69305
120,5,473113,Brooklyn,Entire home/apt,104,1.04,272,-73.95663,40.67174
140,7,509341,Brooklyn,Entire home/apt,13,0.13,0,-73.95098,40.71055
200,5,509918,Brooklyn,Entire home/apt,4,0.07,9,-73.95458,40.69465
165,4,116599,Brooklyn,Private room,11,0.11,365,-73.96542,40.68413
125,4,31374,Manhattan,Entire home/apt,1,0.01,181,-73.97707,40.73877
65,7,522065,Manhattan,Shared room,131,1.31,0,-73.94102,40.79406
67,2,523218,Manhattan,Private room,136,1.37,296,-73.93361,40.85295
130,7,526805,Brooklyn,Entire home/apt,98,0.99,35,-73.99187,40.66918
100,3,530032,Brooklyn,Private room,31,0.31,0,-73.95613,40.71125
190,3,465278,Brooklyn,Entire home/apt,124,1.76,359,-73.96053,40.71577
599,3,417504,Brooklyn,Private room,9,0.09,60,-73.95485,40.73861
249,5,251176,Manhattan,Entire home/apt,166,1.68,365,-73.98745,40.72577
60,3,551055,Manhattan,Private room,380,3.83,247,-73.95231,40.82773
135,2,552679,Brooklyn,Entire home/apt,86,0.87,102,-73.95684,40.68505
175,3,306739,Brooklyn,Entire home/apt,248,2.53,274,-73.95493,40.72911
120,5,3088389,Manhattan,Entire home/apt,49,0.56,201,-73.98567,40.77944
165,7,572527,Brooklyn,Entire home/apt,3,0.03,157,-73.96093,40.67539
90,1,573316,Manhattan,Private room,1,0.02,0,-73.95189,40.8054
225,2,571952,Manhattan,Entire home/apt,56,0.57,312,-73.9508,40.78491
95,2,181376,Brooklyn,Private room,163,1.66,331,-73.97307,40.69088
55,2,314582,Brooklyn,Private room,247,2.51,275,-73.95057,40.67555
211,1,314941,Manhattan,Entire home/apt,52,0.6,361,-73.99434,40.71895
145,6,582598,Manhattan,Entire home/apt,39,0.4,0,-73.96699,40.75579
99,1,127772,Manhattan,Entire home/apt,320,3.23,220,-73.94095,40.81822
110,4,585166,Queens,Entire home/apt,30,0.32,363,-73.92132,40.76434
80,3,209460,Brooklyn,Entire home/apt,225,2.27,315,-73.94925,40.67705
110,4,2248897,Brooklyn,Entire home/apt,70,0.75,283,-73.92747,40.68448
290,2,585458,Manhattan,Private room,35,0.36,20,-74.00208,40.74412
190,4,138069,Brooklyn,Entire home/apt,50,0.51,331,-73.94061,40.70665
200,2,262812,Brooklyn,Entire home/apt,29,0.31,36,-73.95952,40.72063
165,2,611716,Brooklyn,Entire home/apt,23,0.23,7,-73.98082,40.67644
110,2,617990,Manhattan,Entire home/apt,142,1.44,301,-73.94794,40.80481
395,2,622460,Manhattan,Entire home/apt,70,0.73,170,-73.99143,40.72533
99,2,622855,Brooklyn,Private room,38,0.54,307,-73.93038,40.68569
39,1,308652,Brooklyn,Private room,82,0.94,365,-73.97255,40.64302
189,2,627217,Manhattan,Entire home/apt,403,4.1,201,-73.98857,40.72939
85,1,620288,Manhattan,Private room,3,0.03,0,-73.96607,40.79918
122,1,256161,Manhattan,Entire home/apt,116,1.18,271,-73.94453,40.81333
165,2,275563,Brooklyn,Entire home/apt,175,1.79,139,-73.95199,40.72473
97,3,85330,Queens,Entire home/apt,28,1.21,209,-73.85262,40.70925
170,4,651390,Manhattan,Entire home/apt,24,0.25,0,-74.00922,40.73215
125,2,507186,Brooklyn,Entire home/apt,15,0.15,0,-73.94332,40.71109
130,4,653405,Manhattan,Private room,105,1.07,193,-73.97926,40.7463
50,2,663764,Brooklyn,Private room,263,2.69,136,-73.94886,40.651
170,3,663879,Brooklyn,Entire home/apt,86,0.91,286,-73.97598,40.68626
132,4,665013,Manhattan,Entire home/apt,10,0.1,0,-74.001,40.74488
250,7,663384,Brooklyn,Entire home/apt,18,0.21,18,-73.97616,40.67632
141,5,674970,Brooklyn,Entire home/apt,8,0.21,9,-73.94254,40.72212
249,3,622866,Brooklyn,Entire home/apt,150,1.55,277,-73.96019,40.71363
79,2,683975,Brooklyn,Private room,115,1.18,0,-73.95878,40.6755
185,2,686147,Manhattan,Entire home/apt,69,0.71,233,-73.97581,40.72274
120,3,686768,Brooklyn,Entire home/apt,232,2.41,221,-73.9828,40.6858
495,1,687361,Brooklyn,Entire home/apt,35,0.41,355,-73.97654,40.67535
375,3,689661,Manhattan,Entire home/apt,18,0.21,0,-73.99346,40.72255
175,3,630453,Manhattan,Entire home/apt,68,0.69,277,-73.99706,40.72094
150,4,277747,Manhattan,Entire home/apt,22,0.23,0,-73.97813,40.72485
259,8,616825,Manhattan,Entire home/apt,17,0.17,343,-73.9532,40.80473
96,1,299755,Manhattan,Private room,34,0.58,0,-73.98419,40.72217
145,7,404424,Brooklyn,Entire home/apt,8,0.08,0,-73.9565,40.71943
95,5,706418,Manhattan,Entire home/apt,2,0.08,0,-73.97294,40.79264
250,4,709434,Brooklyn,Entire home/apt,52,0.72,188,-73.97675,40.65749
295,2,709334,Manhattan,Entire home/apt,74,0.76,264,-73.94688,40.80474
175,3,715807,Manhattan,Entire home/apt,18,0.19,0,-74.00177,40.72831
451,2,716064,Brooklyn,Entire home/apt,72,0.86,331,-73.94144,40.71541
165,2,718349,Manhattan,Entire home/apt,191,2.18,236,-73.96245,40.79765
77,1,716306,Bronx,Entire home/apt,197,2.49,309,-73.8639,40.89747
250,4,726333,Manhattan,Entire home/apt,19,0.2,0,-73.98404,40.72008
129,1,722320,Queens,Entire home/apt,414,4.34,245,-73.91098,40.75725
98,2,216191,Brooklyn,Private room,8,0.09,0,-73.94495,40.7102
95,7,731904,Manhattan,Private room,25,0.3,359,-73.9782,40.72674
55,3,256161,Manhattan,Private room,119,1.22,333,-73.94571,40.81156
300,2,732535,Manhattan,Entire home/apt,203,2.14,258,-73.95016,40.80497
125,2,737585,Brooklyn,Entire home/apt,104,1.09,22,-73.95671,40.72937
175,3,739499,Manhattan,Private room,175,1.8,236,-73.98438,40.72587
75,3,745069,Manhattan,Private room,38,0.42,365,-73.9463,40.82426
165,1,758441,Brooklyn,Private room,27,0.28,311,-73.91989,40.68669
165,5,573065,Brooklyn,Entire home/apt,117,1.28,23,-73.95914,40.71534
75,3,759583,Brooklyn,Private room,43,0.44,365,-73.96024,40.68288
130,5,762563,Brooklyn,Entire home/apt,4,0.05,0,-73.95494,40.72489
139,2,465589,Brooklyn,Entire home/apt,385,4.0,222,-73.94284,40.70867
